投(開)票所名稱,投(開)票所地點,所轄村里或鄰名稱
第0877投開票所,溪頂社區活動中心(三溪路1段209號),溪頂村
第0878投開票所,保證責任彰化縣花卉生產合作社(民族路2段161號),柳鳳村
第0879投開票所,陸豐社區活動中心(陸豐路48號),陸豐村
第0880投開票所,海豐社區活動中心(中正路3段271號),海豐村1-5、7-11鄰
第0881投開票所,保證責任彰化縣海豐合作農場(光榮巷151號),海豐村6、12-16鄰
第0882投開票所,睦宜社區活動中心(聖德巷162號),睦宜村
第0883投開票所,新生社區活動中心(延平路150號),新生村
第0884投開票所,北鎮社區活動中心(平和路2段151號),北鎮村
第0885投開票所,南鎮社區活動中心(平和路1段140號),南鎮村
第0886投開票所,福田社區活動中心(光復路98巷191號),福田村
第0887投開票所,新興社區活動中心(新興路280號),新興村
第0888投開票所,四武宮文康中心,和豊村1-12鄰
第0889投開票所,四武宮(埔尾路51號),和豊村13-22鄰
第0890投開票所,興農社區活動中心,興農村1-10鄰
第0891投開票所,天濟宮,興農村11-14鄰
第0892投開票所,埤頭社區活動中心,埤頭村1-8鄰
第0893投開票所,埤頭國小,埤頭村9-16鄰
第0894投開票所,豐崙國小,豊崙村1-12鄰
第0895投開票所,豐崙國小,豊崙村13-21鄰
第0896投開票所,崙子社區活動中心,崙子村
第0897投開票所,永豊社區活動中心,永豊村1-7鄰
第0898投開票所,十三甲文物館,永豊村8-16鄰
第0899投開票所,埤頭鄉立圖書館一樓,合興村1-10鄰
第0900投開票所,合興國小,合興村11-16鄰
第0901投開票所,合興國小,合興村17-21鄰
第0902投開票所,平原社區活動中心,平原村1-9鄰
第0903投開票所,達平宮廟宇辦公中心,平原村10-20鄰
第0904投開票所,崙腳社區活動中心,崙腳村
第0905投開票所,元埔社區活動中心,元埔村
第0906投開票所,芙朝社區活動中心,芙朝村1-11鄰
第0907投開票所,芙朝國小,芙朝村12-23鄰
第0908投開票所,新庄社區活動中心,新庄村
第0909投開票所,陸嘉社區活動中心,陸嘉村
第0910投開票所,竹圍社區活動中心,竹圍村
第0911投開票所,中和社區活動中心,中和村1-7鄰
第0912投開票所,中和國小,中和村8-12鄰
第0913投開票所,庄內社區活動中心,庄內村
第0914投開票所,大湖國小,大湖村
第0915投開票所,溪厝社區活動中心,溪厝村1-9鄰
第0916投開票所,僑義國小,溪厝村10-14鄰
第0917投開票所,新關懷據點(中和1巷3號),坑厝村
第0918投開票所,后天宮(東光路20號),瓦厝村
第0919投開票所,溪州國中藝文館,溪州村1-10鄰
第0920投開票所,南州國小,溪州村11-20鄰
第0921投開票所,復興宮(舊)(中通路90號),尾厝村1-4、14鄰
第0922投開票所,溪州國小,尾厝村5-13鄰
第0923投開票所,東州社區活動中心,東州村1-8鄰
第0924投開票所,育善寺(永安路226號),東州村9-15鄰
第0925投開票所,舊眉社區活動中心,舊眉村
第0926投開票所,圳寮國小（一）,圳寮村1-6鄰
第0927投開票所,圳寮國小（二）,圳寮村7-13鄰
第0928投開票所,萬聖宮(西中巷1號),西畔村1-8、15鄰
第0929投開票所,成功國小西畔分校,西畔村9-14、16鄰
第0930投開票所,愛天宮(面前巷1號),柑園村
第0931投開票所,溪陽國中,成功村1-8鄰
第0932投開票所,成功國小,成功村9-15鄰
第0933投開票所,大庄社區活動中心,大庄村1-12鄰
第0934投開票所,大莊國小,大庄村13-20鄰
第0935投開票所,榮光社區活動中心,榮光村
第0936投開票所,潮洋國小,潮洋村
第0937投開票所,張厝社區活動中心,張厝村
第0938投開票所,菜公社區活動中心,菜公村
第0939投開票所,三條國小,三條村
第0940投開票所,三千宮活動中心(三圳村莊內巷42號),三圳村
第0941投開票所,水尾村村民活動中心,水尾村
第0942投開票所,福安宮(太平路155號),豐田里1-4、13鄰
第0943投開票所,二林鎮立圖書館(一),豐田里5-10鄰
第0944投開票所,二林鎮立圖書館(二),豐田里11、12、14-16鄰
第0945投開票所,二林國小,東和里1-16鄰
第0946投開票所,東和里集會所（儒林路2段513巷33號）,東和里17-27鄰
第0947投開票所,中正國小(一),南光里1-14鄰
第0948投開票所,中正國小(二),南光里15-20鄰
第0949投開票所,中正國小(三),南光里21-27鄰
第0950投開票所,西平里民眾活動中心,西平里
第0951投開票所,二林鎮老人文康活動中心(一),北平里1-15鄰
第0952投開票所,二林鎮老人文康活動中心(二),北平里16-25鄰
第0953投開票所,代安宮,中西里1-3、8鄰
第0954投開票所,中西社區活動中心,中西里4-7、9-13鄰
第0955投開票所,廣興社區活動中心,廣興里
第0956投開票所,香田國小,香田里
第0957投開票所,外竹里社區活動中心,外竹里
第0958投開票所,興華里社區活動中心,興華里
第0959投開票所,東興里社區活動中心,東興里
第0960投開票所,廣福宮(新榮巷1號之2),後厝里1-8、14、15鄰
第0961投開票所,福德宮(五權街麥當勞後方),後厝里9-13、16-18鄰
第0962投開票所,頂厝里民眾活動中心,頂厝里1-6、12鄰
第0963投開票所,天瑤宮,頂厝里7-11鄰
第0964投開票所,圓和宮(鎮平巷1-1號),趙甲里
第0965投開票所,保安宮,振興里
第0966投開票所,萬興國小教室(一),萬興里
第0967投開票所,萬興國小教室(二),永興里1-4鄰
第0968投開票所,萬興國小教室(三),永興里5-11鄰
第0969投開票所,慈靈宮(同安巷80號之1),西庄里
第0970投開票所,梅芳里社區活動中心,梅芳里
第0971投開票所,中興國小(一),華崙里1-6、18鄰
第0972投開票所,中興國小(二),華崙里16、17、20-24鄰
第0973投開票所,鎮港宮(文明巷10號),華崙里7-15、19鄰
第0974投開票所,萬合國小,萬合里
第0975投開票所,東勢里社區活動中心,東勢里
第0976投開票所,大永里社區活動中心,大永里
第0977投開票所,原斗國小活動中心,原斗里
第0978投開票所,臺灣酒窖體驗教室,西斗里
第0979投開票所,東華里社區活動中心,東華里
第0980投開票所,復豐里社區活動中心,復豐里
第0981投開票所,山腳社區活動中心,山腳村
第0982投開票所,潭墘國小,潭墘村
第0983投開票所,大城國小(一),大城村
第0984投開票所,大城國小(二),東城村
第0985投開票所,西城社區活動中心,西城村
第0986投開票所,上山社區活動中心,上山村1-11鄰
第0987投開票所,魚寮玄天宮(魚寮路11號),上山村12-16鄰
第0988投開票所,永和社區活動中心,永和村
第0989投開票所,公館社區活動中心,公館村1-10鄰
第0990投開票所,永光國小,公館村11-20鄰
第0991投開票所,豐美社區活動中心,豐美村
第0992投開票所,三豐社區活動中心,三豐村
第0993投開票所,菜寮社區活動中心,菜寮村
第0994投開票所,西港國小,東港村
第0995投開票所,西港社區活動中心,西港村
第0996投開票所,頂庄國小,頂庄村
第0997投開票所,臺西社區活動中心,臺西村
第0998投開票所,芳苑社區活動中心,芳苑村
第0999投開票所,芳中社區活動中心,芳中村
第1000投開票所,芳苑國中,仁愛村
第1001投開票所,大將軍廟(芳新路91號),信義村
第1002投開票所,後寮國小,後寮村
第1003投開票所,三合社區活動中心(斗苑路三合段238巷86號),三合村1-4、6、8、11、12、14、15鄰
第1004投開票所,芳苑鄉立托兒所,三合村5、7、9、10、13、16鄰
第1005投開票所,復興宮(光復巷10號),永興村1-11鄰
第1006投開票所,育華國小,永興村12-22鄰
第1007投開票所,玄武宮膳宿堂(新上路1號),新街村
第1008投開票所,路上國小,路上村
第1009投開票所,路平社區活動中心,路平村
第1010投開票所,新謝祖厝(小西路5-1號),三成村
第1011投開票所,代天府(廟後巷12之1號),福榮村
第1012投開票所,頂廍社區活動中心,頂廍村
第1013投開票所,王功國小,王功村1-5鄰
第1014投開票所,王功國小,王功村6-15鄰
第1015投開票所,博愛社區活動中心,博愛村
第1016投開票所,和平社區活動中心,和平村
第1017投開票所,林姓宗祠(光正巷6號旁),興仁村1-7鄰
第1018投開票所,興仁社區活動中心,興仁村8-15鄰
第1019投開票所,民生社區活動中心,民生村
第1020投開票所,新寶國小,新寶村1-3、5、6、11-13鄰
第1021投開票所,新寶社區活動中心,新寶村4、7-10鄰
第1022投開票所,民權國小,五俊村
第1023投開票所,草湖國中,草湖村1-5、11-13鄰
第1024投開票所,順天宮(仁愛路5號旁),草湖村6-10鄰
第1025投開票所,建平社區活動中心,建平村1-4、11-14鄰
第1026投開票所,保安宮(二溪路草二段560號),建平村5-10、15鄰
第1027投開票所,崙腳社區活動中心,崙腳村
第1028投開票所,草湖國小,文津村
第1029投開票所,新生社區活動中心,新生村1-4、12-14、16鄰
第1030投開票所,建新國小,新生村5-11、15鄰
第1031投開票所,順安宮(漢崙路236號旁),漢寶村1、7、8、14-18鄰
第1032投開票所,漢寶社區活動中心,漢寶村2-6、10-13鄰
第1033投開票所,漢寶國小,漢寶村9、19-24鄰
第1034投開票所,竹塘國中禮堂,竹元村
第1035投開票所,竹塘國小活動中心,竹塘村1-11鄰
第1036投開票所,竹塘國小,竹塘村12-22鄰
第1037投開票所,小西社區活動中心,小西村
第1038投開票所,民靖社區活動中心,民靖村
第1039投開票所,五庄社區活動中心,五庄村1-9鄰
第1040投開票所,五庄社區活動中心辦公室,五庄村10-15鄰
第1041投開票所,樹腳社區活動中心,樹腳村
第1042投開票所,田頭國小,田頭村
第1043投開票所,新廣社區活動中心,新廣村
第1044投開票所,溪墘社區活動中心,溪墘村
第1045投開票所,竹林社區活動中心,竹林村
第1046投開票所,土庫國小,土庫村
第1047投開票所,內新社區活動中心,內新村
第1048投開票所,長安國小,長安村
第1049投開票所,永安社區活動中心,永安村
